Tempo	DP1	DP2	DP3	DP4	DP5
3,52	-0,59170782	0,6750065	9,464453	9,799562	14,155988
3,54	-2,39555496	4,4856815	9,2825365	9,330409	13,782579
3,56	-3,23428656	5,845269	9,301685	9,397431	14,0793915
3,58	-2,2347024	3,9399316	9,531475	9,531475	11,905966
3,6	-0,46532364	3,193116	9,464453	9,339984	6,8888965
3,62	0,453834168	4,763344	9,3878565	9,54105	7,195282
3,64	-1,06277616	5,3569665	9,301685	9,234664	7,9133744
3,66	-1,90150764	4,0548263	9,18679	9,234664	6,8888965
3,68	-1,25809716	4,0069537	9,167642	9,761265	5,960164
3,7	-0,51128154	4,169721	9,435729	9,531475	6,639958
3,72	-0,017234209	3,4803526	9,18679	9,339984	6,1899533
3,74	-0,304471032	3,5378	9,158067	9,3878565	5,9697385
3,76	-1,763634	4,658024	9,263388	9,301685	5,1367517
3,78	-2,20023396	5,653778	9,196365	9,129343	5,0314317
3,8	-1,35001296	7,35805	9,770839	9,100619	6,9080453
3,82	-1,25809716	10,517654	9,876159	9,0814705	7,1186857
3,84	-1,43043936	9,770839	10,259142	9,091045	6,8027253
3,86	-0,8100078	3,2218397	11,992137	9,062322	7,999545
3,88	-0,476813112	5,1176023	15,065571	9,004874	9,100619
3,9	-1,085755128	2,5228968	14,9985485	9,100619	10,058076
3,92	-1,05128676	3,911208	15,371957	9,339984	11,49426
3,94	-0,270002604	19,603912	13,964497	9,493176	8,200611
3,96	-0,25851312	12,078308	11,609155	9,129343	6,831449
3,98	-0,522771	0,34947145	8,995299	9,234664	7,9899707
4	-0,718092	5,82612	8,1623125	9,196365	4,4473834
4,02	-0,764049912	9,885734	6,8410234	9,033598	4,926111
4,04	-0,98234988	8,200611	6,563361	8,9761505	5,5963306
4,06	-1,47639732	8,918703	7,003791	9,31126	13,428321
4,08	-1,57980252	9,129343	7,051664	9,330409	16,377285
4,1	-0,75256044	8,7750845	7,616563	9,330409	8,708063
4,12	0,097660518	9,617646	8,018694	9,502751	9,943181
4,14	0,327449976	10,19212	8,698488	9,991054	12,576185
4,16	0,63766572	9,2825365	9,75169	10,737869	9,225089
4,18	0,488302584	8,5740185	9,742115	11,944264	6,984642
4,2	0,074681573	8,526146	9,598496	13,035764	11,082554
4,22	1,80959184	8,688913	10,010203	13,0549135	9,5889225
4,24	2,74023912	8,842107	9,96233	13,648536	8,34423
4,26	0,741070956	8,909128	9,474028	14,127264	10,0868
4,28	-2,95853916	8,889979	8,746361	11,551707	8,583593
4,3	-3,8776968	9,062322	7,5782647	9,483603	8,822957
4,32	-3,22279704	8,641041	6,8888965	8,803808	9,5219
4,34	-2,34959712	8,985725	6,017611	5,950589	9,971905
4,36	-0,832986756	8,870831	7,02294	4,4090853	9,598496
4,38	0,947881512	8,641041	10,498506	5,1176023	8,650616
4,4	-0,120639456	8,889979	15,410255	7,195282	9,052747
4,42	0,384897312	8,842107	13,284702	6,8793216	9,330409
4,44	0,77553942	8,679339	6,113357	4,3803616	8,995299
4,46	2,61385488	8,641041	8,382527	4,2463174	8,861256
4,48	1,98193404	8,679339	10,555953	4,8782387	9,043172
4,5	1,89001824	8,439975	10,029352	5,041006	9,253813
4,52	2,47598136	8,191036	9,780414	4,619725	9,052747
4,54	2,18874444	8,248484	9,885734	4,993133	9,100619
4,56	2,54491824	8,506997	9,569773	5,6250544	9,043172
4,58	2,6942814	9,8953085	9,809137	5,8835673	8,679339
4,6	1,90150764	11,522984	9,799562	6,438892	8,842107
4,62	2,2461918	9,5889225	9,655944	6,9176197	9,100619
4,64	2,98151808	8,133589	9,349558	8,34423	8,995299
4,66	3,03896544	9,215514	9,368708	9,96233	9,129343
4,68	1,05128676	9,397431	9,445304	9,397431	9,0814705
4,7	-0,9019236	9,378282	9,512326	9,31126	9,167642
4,72	-0,327449976	9,435729	9,407005	10,125097	9,713391
4,74	1,9474656	8,870831	9,349558	9,024023	9,608071
4,76	2,9125812	9,263388	9,5889225	7,654861	9,5219
4,78	1,120223592	10,364462	9,502751	6,9176197	10,776168
4,8	-0,741070956	11,312344	9,474028	6,391019	13,648536
4,82	-0,832986756	12,030436	9,569773	6,2091026	15,429404
4,84	-0,384897312	12,394268	9,474028	5,692076	14,242159
4,86	0,924902556	11,666602	9,339984	7,0612383	16,05175
4,88	3,464076	11,130426	9,0814705	9,713391	16,93261
4,9	3,03896544	10,010203	9,033598	12,968742	15,821961
4,92	-0,35042892	8,32508	9,18679	11,216598	11,666602
4,94	-0,361918404	6,975067	9,272962	11,465536	8,4686985
4,96	-0,855965712	5,309094	9,138918	11,379365	7,846352
4,98	0,327449976	3,3175852	9,18679	9,742115	4,926111
5	1,90150764	5,653778	9,18679	9,531475	3,0973704
5,02	1,90150764	8,947427	9,0814705	9,033598	3,8154624
5,04	-0,46532364	6,668681	9,119769	9,780414	3,604822
5,06	-2,76321804	5,2037735	9,378282	9,569773	3,0494976
5,08	-3,7628022	6,486765	9,474028	9,253813	1,5558661
5,1	-2,6253444	6,37187	9,158067	9,31126	1,4218222
5,12	-0,66064464	5,873993	9,091045	9,215514	3,020774
5,14	1,35001296	6,4293175	9,215514	9,426155	3,384607
5,16	0,936391992	6,5059137	9,349558	9,320834	3,3558834
5,18	-1,30405512	6,0750585	9,512326	9,407005	4,1792955
5,2	-1,9474656	6,3431463	8,985725	9,608071	4,648449
5,22	-1,120223592	6,7548523	8,985725	9,378282	4,6675982
5,24	-0,155107872	6,6495323	9,129343	9,426155	5,481436
5,26	0,017234209	6,2952733	9,062322	9,493176	6,218677
5,28	-0,69511308	6,2282515	10,2016945	9,339984	6,4293175
5,3	-0,97086048	6,8410234	12,6527815	9,426155	7,2910275
5,32	-1,005328848	6,5537868	14,43365	9,378282	9,397431
5,34	-1,46490768	5,8931417	13,868751	9,18679	11,618729
5,36	-1,48788672	5,950589	14,941102	9,033598	10,06765
5,38	-1,2810762	5,8548436	16,137922	9,0814705	6,975067
5,4	-1,33852356	5,452712	15,582597	9,339984	8,305931
5,42	-1,22362872	5,6154795	12,231501	9,41658	7,12826
5,44	-1,13171304	5,7782474	11,436812	9,703817	6,1420803
5,46	-0,78702888	5,9027166	10,038927	10,6134	8,966576
5,48	-0,60319734	6,6208086	8,32508	11,522984	14,20386
5,5	-0,49979208	10,795317	6,8122997	11,685751	12,413418
5,52	-0,166597344	19,603912	5,49101	13,332576	8,650616
5,54	-0,304471032	7,176133	3,8920588	14,66344	11,695326
5,56	-0,120639456	1,383524	5,146326	15,276211	10,862339
5,58	-0,074681573	10,460207	4,6771727	13,725132	9,31126
