Tempo	C1	C2	C3	C4	C5
6,26	-0,98139244	9,129343	9,31126	7,0133657	7,769756
6,28	-1,2016073	8,842107	9,091045	3,4133308	9,445304
6,3	-1,79523	9,071896	9,158067	2,1399143	10,460207
6,32	-1,9005502	9,6942425	9,272962	2,733537	9,971905
6,34	-1,4792696	9,780414	9,502751	5,634629	10,316589
6,36	-2,0728924	9,493176	9,54105	8,047418	11,800646
6,38	-3,1548176	9,378282	9,407005	17,334742	11,877242
6,4	-3,604822	9,225089	9,502751	14,682589	10,785743
6,42	-1,709059	9,253813	9,368708	10,421909	10,431483
6,44	0,23457673	9,435729	9,20594	14,424075	10,689997
6,46	1,4505459	9,330409	9,234664	12,422992	9,809137
6,48	2,3697038	9,18679	9,158067	8,315506	7,0803876
6,5	2,9154537	9,129343	9,215514	7,549541	5,7112255
6,52	2,7622607	9,110194	9,244238	10,029352	5,28037
6,54	2,4175766	9,234664	9,148493	9,7899885	4,849515
6,56	1,6899099	9,29211	9,493176	10,642124	4,543129
6,58	2,561195	9,2825365	9,263388	10,565528	5,6250544
6,6	5,998462	9,263388	9,062322	9,004874	8,430401
6,62	8,44955	9,234664	9,608071	9,004874	17,727299
6,64	6,9271946	9,196365	10,058076	9,464453	18,44539
6,66	4,016528	9,253813	9,665519	9,560199	10,383611
6,68	1,2303311	9,234664	9,722966	9,454879	18,273048
6,7	-1,2782038	9,091045	10,843189	9,579348	8,66019
6,72	-1,8048047	9,119769	13,083637	9,320834	-2,4558747
6,74	-0,8281995	9,244238	12,5474615	8,966576	5,021857
6,76	0,6079846	9,253813	11,944264	9,378282	11,49426
6,78	1,6516117	9,0814705	13,629387	9,158067	19,09646
6,8	3,4420545	9,052747	13,571939	9,320834	14,893229
6,82	5,4048395	9,177217	14,242159	9,033598	4,121848
6,84	5,299519	9,234664	15,956005	9,177217	7,8272033
6,86	4,2941904	9,196365	16,118773	9,2825365	11,561282
6,88	1,8909757	9,0814705	13,725132	9,349558	12,987891
6,9	-1,5175679	9,062322	11,848518	9,215514	10,546378
6,92	-2,9633265	9,29211	12,911295	8,870831	7,3771987
6,94	-3,7005677	9,483603	12,557036	9,062322	7,741032
6,96	-2,714388	9,560199	11,245321	8,918703	9,636795
6,98	-2,3026817	9,713391	8,583593	8,937852	10,776168
7	-1,9196993	9,96233	8,832532	8,870831	10,575102
7,02	-0,3398969	10,421909	4,5910015	8,937852	9,684668
7,04	1,0579889	10,776168	6,065484	8,889979	8,842107
7,06	0,98139244	10,469782	4,648449	9,177217	8,641041
7,08	-3,346309	10,316589	5,309094	9,119769	9,5219
7,1	-9,378282	10,393186	3,844186	8,746361	10,345312
7,12	-6,764427	10,153821	4,2558923	8,9761505	9,5889225
7,14	-5,806971	9,914457	5,7208	9,062322	8,765511
7,16	-1,79523	9,742115	5,500585	9,3878565	8,794233
7,18	1,383524	9,866585	5,309094	9,809137	9,3878565
7,2	1,948423	9,924032	6,1612296	11,05383	9,885734
7,22	3,8154624	9,85701	6,5346375	12,260224	9,914457
7,24	3,6335456	9,18679	7,0133657	14,30918	9,368708
7,26	0,11968201	8,870831	7,8272033	14,797483	9,091045
7,28	-3,5282254	8,832532	8,478273	15,745364	9,330409
7,3	-4,5144053	8,459125	9,483603	14,175137	9,234664
7,32	-2,4654493	8,056993	10,527229	12,001712	9,024023
7,34	-0,78990126	7,5591154	11,350641	10,412334	9,320834
7,36	-0,19627848	8,353804	12,049584	9,20594	12,068733
7,38	0,11968201	10,230418	12,308098	9,407005	16,693247
7,4	0,59841	9,474028	12,126181	8,55487	15,324084
7,42	1,3643749	9,397431	12,56661	8,037844	14,357054
7,44	1,2494801	8,181462	11,49426	9,378282	14,567694
7,46	-0,062234644	8,076141	10,29744	6,170804	17,545382
7,48	-1,2303311	8,832532	8,765511	6,170804	17,009207
7,5	-0,8760723	9,732541	4,9739842	7,9708214	16,291115
7,52	0,3398969	9,722966	1,8718265	7,204857	16,080475
7,54	0,9622433	8,679339	3,5282254	5,634629	12,987891
7,56	0,6558574	8,21976	5,787822	5,8548436	9,636795
7,58	0,043085523	8,870831	5,653778	6,2761245	9,339984
7,6	-0,11968201	9,5219	6,170804	5,960164	11,618729
7,62	0,081383765	9,675094	13,074062	6,132506	10,105948
7,64	0,2441513	10,134672	19,603912	6,6591067	6,6208086
7,66	-0,05266008	10,910212	2,3026817	7,0133657	6,2378263
7,68	-0,22500217	11,561282	-0,34947145	7,7793303	7,0133657
7,7	0,00478728	11,341067	17,104952	8,401677	7,1186857
7,72	0,11968201	10,71872	16,578352	8,44955	7,137835
7,74	0,14840569	10,94851	5,452712	9,75169	8,037844
7,76	0,37819514	10,479357	6,525063	11,226172	8,363379
7,78	0,6750065	9,713391	10,345312	11,475111	7,1665583
7,8	0,76117754	8,995299	11,398514	12,059159	7,7506065
7,82	0,50266445	7,7984796	11,245321	12,767676	9,378282
7,84	-0,00478728	5,739949	10,565528	13,0549135	9,75169
7,86	-0,45479164	3,518651	9,914457	13,217681	10,450633
7,88	-0,22500217	3,5569491	9,933606	8,851681	12,920869
7,9	0,2920241	5,9697385	9,732541	4,2175937	15,649619
7,92	0,54096264	7,4154973	10,000628	2,4845984	14,404926
7,94	0,56968635	12,863422	9,454879	2,7239625	12,202777
7,96	0,49308985	16,817715	9,722966	5,021857	10,153821
7,98	0,56011176	15,525149	9,41658	5,28037	8,420826
8	0,63670826	10,134672	9,359133	11,752773	3,2888615
8,02	0,6558574	7,5591154	9,359133	18,847523	0,69415563
8,04	0,36862057	9,54105	9,29211	10,345312	2,475024
8,06	0,2920241	10,527229	9,464453	11,781497	4,3803616
8,08	0,12925656	11,82937	9,349558	13,437896	5,998462
8,1	-0,081383765	12,968742	9,493176	9,31126	17,487934
8,12	-0,359046	9,722966	9,397431	7,1091113	19,335825
8,14	-0,751603	8,21976	9,454879	8,631466	9,052747
8,16	-1,1250108	12,030436	9,837861	10,278291	4,2558923
8,18	-1,3643749	12,212352	9,368708	9,924032	2,0250196
8,2	-1,4409714	6,630383	9,2825365	10,393186	5,8165455
8,22	-1,3356512	5,605905	9,407005	9,62722	9,454879
8,24	-0,8090504	8,143164	9,474028	9,215514	18,502838
8,26	-0,023936402	9,234664	9,617646	9,052747	18,751776
8,28	0,4164934	10,441058	9,6942425	8,899554	5,414414
8,3	0,512239	11,647452	9,62722	9,493176	6,3431463
8,32	1,0196906	10,938935	9,225089	9,885734	8,842107
8,34	1,1250108	9,770839	8,794233	9,3878565	10,383611
8,36	0,8473486	9,75169	9,368708	9,129343	14,797483
8,38	0,71330476	9,96233	9,29211	9,20594	10,383611
8,4	0,33032233	9,837861	9,904882	9,138918	5,653778
8,42	0,18670394	9,722966	10,441058	9,014449	6,486765
8,44	-0,4356425	9,579348	11,953838	9,119769	8,679339
8,46	-2,1782124	9,129343	14,87408	9,177217	11,609155
8,48	-3,1356685	8,822957	13,543216	8,832532	12,767676
8,5	-2,427151	8,803808	13,734707	8,727212	9,64637
8,52	-1,2686293	9,091045	15,601747	8,870831	7,894225
8,54	-0,7324539	9,770839	15,821961	9,014449	8,4686985
8,56	-0,9430942	10,019777	17,03793	9,024023	9,675094
8,58	-2,0441687	9,62722	15,381532	8,880404	10,689997
8,6	-3,6622694	9,445304	13,514492	8,899554	10,010203
8,62	-5,28037	9,531475	12,116607	9,062322	8,717637
8,64	-7,3197513	9,378282	13,543216	9,062322	8,21976
8,66	-9,062322	9,263388	12,221927	8,966576	8,937852
8,68	-9,349558	9,368708	10,71872	9,004874	10,172971
8,7	-8,181462	9,196365	6,936769	8,870831	10,469782
8,72	-6,592085	9,014449	5,529309	8,803808	9,368708
8,74	-5,538883	9,378282	7,511243	8,995299	8,4686985
8,76	-4,715471	9,904882	5,261221	9,2825365	8,478273
8,78	-3,039923	10,038927	4,581427	9,426155	9,177217
8,8	-0,8760723	10,460207	5,481436	10,29744	10,029352
8,82	0,751603	10,776168	5,1271772	11,417664	12,834699
8,84	1,0579889	11,044255	6,027186	12,097457	15,927281
8,86	0,14840569	10,6134	6,2282515	13,830453	16,042175
8,88	-1,14416	10,421909	5,7782474	14,931527	15,573023
8,9	-1,9388485	10,852764	6,151655	14,787909	15,831535
8,92	-2,0633178	11,331492	6,5825105	13,638962	16,291115
8,94	-0,98139244	11,762347	7,3771987	11,905966	15,592172
8,96	0,5888355	12,193203	8,104865	10,326163	14,759185
8,98	2,2739582	12,738953	8,803808	9,091045	13,600663
9	3,3750327	12,710229	10,239992	7,7601814	9,828286
